CÓDIGO DE DEPARTAMENTO,NOMBRE DEL DEPARTAMENTO,CÓDIGO DE MUNICIPIO,NOMBRE DE MUNICIPIO,NOMBRE PARAMO,NOMBRE ÁREA PROTEGIDA,ÁREAS PROTEGIDAS DEL SISTEMA NACIONAL DE AREAS PROTEGIDAS,CATEGORÍA DE ÁREAS PROTEGIDAS (Decreto 2372/2010),ADMINISTRADOR,FECHA INICIO DE ADMINISTRACIÓN,ÁREA - HECTÁREAS,EJECUCIÓN DE PROYECTOS DE LA RAPE REGION CENTRAL
25,Cundinamarca,25873,VILLAPINZON,Rabanal y rio Bogota,"Paramo de Cristales, Castillejo o Gauchaneque",Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,12/20/2011 12:00:00 AM,18.15,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15835,TURMEQUE,Rabanal y rio Bogota,"Paramo de Cristales, Castillejo o Gauchaneque",Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,12/20/2011 12:00:00 AM,339.63,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15835,TURMEQUE,Rabanal y rio Bogota,Nacimiento del Rio Bogota,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,03/31/1982 12:00:00 AM,2.88,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15897,TURMEQUE,Tota - Bijagual - Mamapacha,Paramo Mamapacha y Bijagual,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,06/28/2017 12:00:00 AM,16.43,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25407,LENGUAZAQUE,Altiplano Cundiboyacense,Juaitoque,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Cundinamarca – CAR,01/21/1998 12:00:00 AM,0.59,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25407,LENGUAZAQUE,Rabanal y rio Bogota,Paramo Rabanal,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,02/07/2011 12:00:00 AM,9.43,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25407,LENGUAZAQUE,Rabanal y rio Bogota,Paramo de Rabanal,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional de Cundinamarca – CAR,12/30/1992 12:00:00 AM,852.3,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15774,SUSACON,Guantiva-La Rusia,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,33.65,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15753,SOATA,Guantiva-La Rusia,Paramos de Guantiva y la Rusia,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Santander – CAS,10/30/2008 12:00:00 AM,73.76,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15464,MONGUA,Pisba,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,13.14,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15464,MONGUA,Pisba,Cuenca del Rio Cravo Sur,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,04/07/1986 12:00:00 AM,152.81,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15464,MONGUA,Pisba,Pisba,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/06/1977 12:00:00 AM,619.2,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
15,Boyaca,15464,MONGUA,Tota - Bijagual - Mamapacha,Unidad Biogeografica de Siscunci Oceta,Areas Protegidas Públicas,Parques Naturales Regionales,Corporacion Autonoma Regional de Boyaca – CORPOBOYACA,12/16/2008 12:00:00 AM,12707.76,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25839,UBALA,Chingaza,La Sabana de las Delicias,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2008 12:00:00 AM,52.25,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25839,UBALA,Chingaza,Concepcion,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/22/2008 12:00:00 AM,0.71,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25839,UBALA,Chingaza,Cuchilla San Cayetano,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,06/28/2017 12:00:00 AM,94.55,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25839,UBALA,Chingaza,Cuchilla San Cayetano,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional de Chivor – CORPOCHIVOR,06/28/2017 12:00:00 AM,92.1,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25299,GAMA,Chingaza,Chinchorro,Areas Protegidas Públicas,Distritos Regionales de Manejo Integrado,Corporación Autónoma Regional del Guavio – CORPOGUAVIO,12/29/2015 12:00:00 AM,395.93,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
73,Tolima,73686,SANTA ISABEL,Los Nevados,Los Nevados,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,04/30/1974 12:00:00 AM,4003.41,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
73,Tolima,73686,SANTA ISABEL,Los Nevados,Cerrobravo,Areas Protegidas Públicas,Reservas Forestales Protectoras Regionales,Corporación Autónoma Regional del Tolima – CORTOLIMA,06/29/2011 12:00:00 AM,2.47,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25377,LA CALERA,Chingaza,Jikuri,Areas Protegidas Privadas,Reserva Natural de la Sociedad Civil,Parques Nacionales Naturales - PNN,06/16/2014 12:00:00 AM,0.99,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25377,LA CALERA,Chingaza,Rios Blanco y Negro,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,09/02/1982 12:00:00 AM,939.16,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25377,LA CALERA,Chingaza,Chingaza,Areas Protegidas Públicas,Parque Nacional Natural,Parques Nacionales Naturales - PNN,06/24/1968 12:00:00 AM,1974.75,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
25,Cundinamarca,25377,LA CALERA,Cruz Verde - Sumapaz,Bosque Oriental De Bogota,Areas Protegidas Públicas,Reservas Forestales Protectoras Nacionales,Ministerio de Ambiente y Desarrollo Sostenible - MADS,09/30/1976 12:00:00 AM,3.02,"Proyecto Implementación de acciones de conservación y restauración de los complejos de páramo, bosque alto-andino y servicios ecosistémicos de la Región Central"
